Code INSEE;Commune;Age;Moins de 2 années;De 2 à 4 années;De 5 à 9 années;De 10 à 19 années;De 20 à 29 années;De 30 à 39 années;De 40 à 49 années;De 50 à 59 années;De 60 à 69 années;70 années ou plus;geolocalisation
35058;La Chapelle-Chaussée;25 à 39 ans;31;53;53;14;0;0;0;0;0;0;48.2664350425, -1.86414756163
35059;La Chapelle-des-Fougeretz;40 à 54 ans;44;140;170;135;78;1;2;0;0;0;48.1768937301, -1.74067185823
35065;La Chapelle-Thouarault;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.1252826202, -1.8581233152
35065;La Chapelle-Thouarault;25 à 39 ans;41;69;36;8;1;1;0;0;0;0;48.1252826202, -1.8581233152
35066;Chartres-de-Bretagne;15 à 19 ans;13;4;3;1;0;0;0;0;0;0;48.0451561683, -1.70650297343
35066;Chartres-de-Bretagne;40 à 54 ans;122;206;231;319;69;9;5;2;0;0;48.0451561683, -1.70650297343
35076;Chavagne;15 à 19 ans;3;1;0;0;0;0;0;0;0;0;48.0561574005, -1.78649242036
35079;Chevaigné;15 à 19 ans;2;1;1;0;0;0;0;0;0;0;48.2251828699, -1.63670416498
35079;Chevaigné;65 à 79 ans;4;8;5;20;13;29;27;2;2;0;48.2251828699, -1.63670416498
35080;Cintré;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.108708615, -1.88667263001
35080;Cintré;25 à 39 ans;32;79;31;19;0;0;0;0;0;0;48.108708615, -1.88667263001
35080;Cintré;65 à 79 ans;5;6;7;22;8;22;48;0;2;1;48.108708615, -1.88667263001
35081;Clayes;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.1786926288, -1.8539725616
35081;Clayes;65 à 79 ans;0;1;1;7;3;11;11;1;0;0;48.1786926288, -1.8539725616
35088;Corps-Nuds;20 à 24 ans;16;7;0;0;0;0;0;0;0;0;47.9823871404, -1.57026704551
35120;Gévezé;55 à 64 ans;18;37;28;38;50;74;4;3;0;0;48.2133254705, -1.79930703575
35120;Gévezé;65 à 79 ans;13;21;25;40;18;45;52;4;4;6;48.2133254705, -1.79930703575
35131;L'Hermitage;15 à 19 ans;3;1;0;0;0;0;0;0;0;0;48.1221023417, -1.8166504183
35131;L'Hermitage;20 à 24 ans;46;18;1;0;4;0;0;0;0;0;48.1221023417, -1.8166504183
35139;Laillé;55 à 64 ans;7;28;32;59;72;105;6;1;0;0;47.9672360017, -1.71452676529
35144;Langan;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.2363756072, -1.84565830249
35144;Langan;15 à 19 ans;0;0;0;0;0;0;0;0;0;0;48.2363756072, -1.84565830249
35144;Langan;25 à 39 ans;20;33;34;7;1;0;0;0;0;0;48.2363756072, -1.84565830249
35144;Langan;40 à 54 ans;6;8;39;25;15;1;2;1;0;0;48.2363756072, -1.84565830249
35180;Miniac-sous-Bécherel;15 à 19 ans;0;0;0;0;0;0;0;0;0;0;48.2810885875, -1.92727123797
35180;Miniac-sous-Bécherel;55 à 64 ans;1;4;6;5;18;9;0;0;1;0;48.2810885875, -1.92727123797
35189;Montgermont;15 à 19 ans;9;2;0;0;0;0;0;0;0;0;48.1538376773, -1.71729477816
35189;Montgermont;25 à 39 ans;87;161;57;16;2;1;0;0;0;0;48.1538376773, -1.71729477816
35189;Montgermont;40 à 54 ans;32;88;99;128;41;1;3;0;0;0;48.1538376773, -1.71729477816
35196;Mordelles;15 à 19 ans;8;1;1;0;2;0;0;0;0;0;48.0857602983, -1.84210731238
