Geo Point;Geo Shape;gml_id;objectid;circ_apaisee;type_agt_velo;sens;jalonnement;c_insee;annee_mes;etat
48.0897079284, -1.65655970795;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.656553515498881, 48.08988145376937], [-1.656565900403262, 48.08953440295339]]]}";circ_apais_amgt_velo.697;697;zone de rencontre;;;;35238;;
48.1204427962, -1.7100282169;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.710024642031662, 48.12052482432334], [-1.71003193826854, 48.12047505533253], [-1.710024431369323, 48.12036047306936]]]}";circ_apais_amgt_velo.703;703;zone 30;;;;35238;;
48.0863509666, -1.68337217638;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.684174556762029, 48.08635451244306], [-1.683160514086737, 48.08632618509097], [-1.683072853008141, 48.086372378442285], [-1.682979059533639, 48.08637620038315], [-1.682573379646964, 48.08636885704986]]]}";circ_apais_amgt_velo.705;705;zone de rencontre;;;;35238;;
48.1190779724, -1.7148778522;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.714663136844172, 48.11907501639819], [-1.71509256755415, 48.11908092840936]]]}";circ_apais_amgt_velo.708;708;zone 30;;;;35238;;
48.0870395122, -1.67899214769;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.679002114632776, 48.08681997599095], [-1.678982180751871, 48.08725904850207]]]}";circ_apais_amgt_velo.720;720;aire piétonne;;;;35238;;
48.1140040394, -1.71289682943;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.713771227319527, 48.114922981390094], [-1.713636639778242, 48.11492678556937], [-1.713472156367728, 48.114924306199235], [-1.713375539823117, 48.11491920152246], [-1.713267328939113, 48.114910839657696], [-1.713180779456517, 48.11490004083422], [-1.713076564722778, 48.11488900903973], [-1.712979792454057, 48.11487096613061], [-1.712888975365584, 48.11485384328312], [-1.712812051665983, 48.114837084478744], [-1.712717737781116, 48.11481276626967], [-1.712634364760116, 48.11478863305998], [-1.712535644416887, 48.11476165323725], [-1.712428249888278, 48.114725688032905], [-1.712322376511042, 48.11467672602649], [-1.712152878400212, 48.11457087265109], [-1.712099669347685, 48.11452375044158], [-1.712044754758973, 48.11445445899327], [-1.711999987422006, 48.114396915629946], [-1.711971971257093, 48.11433316658766], [-1.711955774738977, 48.114270135255616], [-1.711958018295792, 48.114206467221514], [-1.711978647318332, 48.114119654379316], [-1.712029908763333, 48.114048666560095], [-1.712083898542031, 48.11398039815629], [-1.712146897091452, 48.11391997855684], [-1.712191979896473, 48.113877904191504], [-1.712249343769922, 48.11383709356545], [-1.712297769249601, 48.113800250009206], [-1.712358714868164, 48.11376775745637], [-1.712429213052359, 48.11373380917771], [-1.712527580563299, 48.11369073852975], [-1.712611565457844, 48.11366279649028], [-1.712705434912261, 48.11363226139401], [-1.712776290860934, 48.11360843018012], [-1.712870442467794, 48.11358154364142], [-1.712953773899164, 48.11356150192547], [-1.713067461484219, 48.113537317053826], [-1.713150763350742, 48.11352234148054], [-1.713250076278764, 48.11350793774565], [-1.713350818985829, 48.11349573617313], [-1.71348385112771, 48.11348270019052], [-1.713622591307272, 48.113472844325294], [-1.713615649005997, 48.11334449512468], [-1.713590828091303, 48.11306031995359], [-1.713567574639342, 48.11277468290959], [-1.71353865827658, 48.11251372123285]]]}";circ_apais_amgt_velo.500;500;zone 30;piste cyclable;double-sens;oui;35238;2004;
48.1141909072, -1.61780584431;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.615327617781338, 48.11426104030712], [-1.615752512321829, 48.11422056093046], [-1.617667143403242, 48.11418552595538], [-1.619513178998684, 48.11416322969913], [-1.620285729518573, 48.11418230176896]]]}";circ_apais_amgt_velo.1595;1595;;mixte piéton + vélo;double-sens;non;35051;2005;
48.1070158498, -1.64812218382;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.650887660112076, 48.106712815467546], [-1.649228522093768, 48.106893870897004], [-1.646533810471221, 48.107191400407196], [-1.645364825472416, 48.10731579546321], [-1.645366706557036, 48.10732399833048]]]}";circ_apais_amgt_velo.505;505;;bande cyclable;double-sens;non;35238;1990;
48.1054024766, -1.69480765443;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.694799481496891, 48.10568924543216], [-1.694815827363225, 48.10511570775172]]]}";circ_apais_amgt_velo.513;513;zone 30;;;;35238;;
48.0945710284, -1.65616779289;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.656356124532901, 48.09458173614923], [-1.655979461244689, 48.094560320675456]]]}";circ_apais_amgt_velo.514;514;zone 30;;;;35238;;
