Geo Point;Geo Shape;objectid;id_voie;nom_voie;code_insee;nom_commune;nombre_support;code_modele;libelle_modele;date_creation;gestionnaire;commentaire
48.0983480557, -1.68338019366;"{""type"": ""Point"", ""coordinates"": [-1.683380193659147, 48.09834805566444]}";632;8858;Rue Alain Bouchart;35238;Rennes;5;;S 23;2008-12-31T23:00:00Z;Rennes Métropole;n°41 - pas de SV
48.089391368, -1.69022245232;"{""type"": ""Point"", ""coordinates"": [-1.690222452321259, 48.089391367956274]}";420;8861;Boulevard Albert 1er;35238;Rennes;18;;S 23-1 + autre;1992-12-31T23:00:00Z;Rennes Métropole;piscine n°10
48.2140520705, -1.58798782549;"{""type"": ""Point"", ""coordinates"": [-1.587987825493998, 48.21405207046308]}";1688;6698;Rue Naise;35315;Saint-Sulpice-la-Forêt;7;;SV 12;2015-12-31T23:00:00Z;Rennes Métropole;n°50 salle omnisport
48.1768226568, -1.63687496655;"{""type"": ""Point"", ""coordinates"": [-1.636874966548263, 48.176822656803736]}";1694;5964;Rue de la Raimbauderie;35024;Betton;2;;;;Rennes Métropole;devant salle des sports
48.0295187195, -1.75500750058;"{""type"": ""Point"", ""coordinates"": [-1.75500750058045, 48.02951871948802]}";1703;1366;Avenue de Cézembre;35047;Bruz;8;;;2009-12-31T23:00:00Z;Rennes Métropole;derrière n°5 entré salle des sports
48.0284654351, -1.75205043606;"{""type"": ""Point"", ""coordinates"": [-1.752050436061188, 48.02846543508867]}";1704;1549;Avenue de Wrzesnia;35047;Bruz;5;;;;Rennes Métropole;gare sncf
48.1766821473, -1.63527016808;"{""type"": ""Point"", ""coordinates"": [-1.635270168081299, 48.176682147329004]}";1717;5925;Rue des Marronniers;35024;Betton;2;;SV 14;;Rennes Métropole;Ecole la Haye Renaud
48.1709320774, -1.64222892976;"{""type"": ""Point"", ""coordinates"": [-1.642228929757148, 48.17093207737349]}";1719;22297;Voie communale 1;35024;Betton;3;;SV 2;2017-12-31T23:00:00Z;Rennes Métropole;50m avant carrefour
48.1810527221, -1.63689634648;"{""type"": ""Point"", ""coordinates"": [-1.636896346478741, 48.18105272214925]}";792;5829;Avenue d'Armorique;35024;Betton;1;;SV 14;2013-12-31T23:00:00Z;Rennes Métropole;face au n°5
48.2209796899, -1.78805382495;"{""type"": ""Point"", ""coordinates"": [-1.788053824948648, 48.22097968987157]}";2949;4472;Rue de Rennes;35120;Gévezé;5;;;2013-12-31T23:00:00Z;Rennes Métropole;n°11
48.1088266599, -1.6094006003;"{""type"": ""Point"", ""coordinates"": [-1.609400600302978, 48.108826659925406]}";1641;7178;Rue de Bray;35051;Cesson-Sévigné;6;;;2007-12-31T23:00:00Z;Rennes Métropole;place Carrick-on-Shannon angle
48.0197146702, -1.65174304501;"{""type"": ""Point"", ""coordinates"": [-1.651743045012089, 48.01971467023927]}";3361;705;Place de l'Eglise;35266;Saint-Erblon;3;;SV 25;2007-12-31T23:00:00Z;Rennes Métropole;n°21
48.02060048, -1.6517695024;"{""type"": ""Point"", ""coordinates"": [-1.651769502403476, 48.02060048001801]}";3359;734;Place de la Fontaine;35266;Saint-Erblon;9;;SV 24;2015-12-31T23:00:00Z;Rennes Métropole;
48.1003466244, -1.80276835645;"{""type"": ""Point"", ""coordinates"": [-1.802768356454126, 48.10034662440156]}";3368;546;Rue du Douaire;35204;Nouvoitou;5;;;;Rennes Métropole;entrée C.S
48.1232986885, -1.81902279756;"{""type"": ""Point"", ""coordinates"": [-1.819022797564753, 48.12329868849381]}";3369;3141;Place de la Gare;35131;l'Hermitage;10;;;2007-12-31T23:00:00Z;Rennes Métropole;Gare
48.0757492916, -1.84221446434;"{""type"": ""Point"", ""coordinates"": [-1.842214464339718, 48.07574929163272]}";3371;380;les Mares  (voie sans tronçon);35088;Corps-Nuds;5;;;2013-12-31T23:00:00Z;Rennes Métropole;rue des Lilas angle
48.1384961598, -1.68507077442;"{""type"": ""Point"", ""coordinates"": [-1.685070774421641, 48.13849615984785]}";3382;6414;Rue de l'Etang au Diable;35278;Saint-Grégoire;8;;;2014-12-31T23:00:00Z;Privé;C.C.Leclerc
48.0493745148, -1.61439051623;"{""type"": ""Point"", ""coordinates"": [-1.614390516234259, 48.04937451478516]}";3774;994;Rue du Hameau de l'Abbaye;35352;Vern-sur-Seiche;8;;;2007-12-31T23:00:00Z;Rennes Métropole;face n°14
48.0876828222, -1.62067070734;"{""type"": ""Point"", ""coordinates"": [-1.62067070734107, 48.08768282215675]}";5015;250;Rue de la Poste;35055;Chantepie;2;;SV 11;2007-12-31T23:00:00Z;Rennes Métropole;n°4
48.0884446192, -1.61766531384;"{""type"": ""Point"", ""coordinates"": [-1.617665313844109, 48.08844461920137]}";5017;167;Place de l'Eglise;35055;Chantepie;1;;SV 11;2007-12-31T23:00:00Z;Rennes Métropole;n°3
48.0883785029, -1.61970211542;"{""type"": ""Point"", ""coordinates"": [-1.619702115421384, 48.08837850289908]}";5016;164;Avenue des Deux Ruisseaux;35055;Chantepie;1;;SV 11;2007-12-31T23:00:00Z;Rennes Métropole;n°1
48.1126710759, -1.66516561312;"{""type"": ""Point"", ""coordinates"": [-1.665165613122253, 48.112671075870104]}";1205;8641;Rue de Paris;35238;Rennes;4;;S 23-1;2018-02-01T23:00:00Z;Rennes Métropole;n°57 - pas de SV
48.1059449236, -1.66855119274;"{""type"": ""Point"", ""coordinates"": [-1.668551192743362, 48.1059449235935]}";1209;9197;Rue Jean Milon;35238;Rennes;2;;S 23-1;2018-02-13T23:00:00Z;Rennes Métropole;face n°5
48.119790723, -1.67095704518;"{""type"": ""Point"", ""coordinates"": [-1.670957045183128, 48.11979072303398]}";5;8745;Avenue Jules Ferry;35238;Rennes;6;;autre;1997-12-31T23:00:00Z;Rennes Métropole;n°18 sous immeuble
48.0938710472, -1.65423377319;"{""type"": ""Point"", ""coordinates"": [-1.654233773186046, 48.09387104716911]}";9;9803;Square Docteur Fernand Jacq;35238;Rennes;4;;S 23;;Rennes Métropole;n°4
48.1227679559, -1.68564731963;"{""type"": ""Point"", ""coordinates"": [-1.685647319634184, 48.12276795591198]}";12;9332;Rue de Coëtlogon;35238;Rennes;9;;autre;1992-12-31T23:00:00Z;Rennes Métropole;n°10
48.0925770892, -1.74016781805;"{""type"": ""Point"", ""coordinates"": [-1.740167818045329, 48.09257708919922]}";16;18571;Etang d'Apigné;35238;Rennes;8;;autre;1994-12-31T23:00:00Z;Rennes Métropole;parking Prévalaye
48.1010756291, -1.70727143653;"{""type"": ""Point"", ""coordinates"": [-1.70727143652973, 48.10107562909045]}";18;9366;Rue Paul Lerebours-Pigeonnière;35238;Rennes;4;;autre;1995-12-31T23:00:00Z;Rennes Métropole;n°1
48.1028990069, -1.68317150528;"{""type"": ""Point"", ""coordinates"": [-1.683171505282663, 48.102899006947546]}";26;8882;Rue Docteur Roux;35238;Rennes;6;;S 23;;Rennes Métropole;n°1 bis
48.1101022655, -1.68043304128;"{""type"": ""Point"", ""coordinates"": [-1.680433041276935, 48.11010226545195]}";31;9121;Quai Duguay-Trouin;35238;Rennes;5;;S 23;2005-12-31T23:00:00Z;Rennes Métropole;face au n°2
48.0843930668, -1.6674793116;"{""type"": ""Point"", ""coordinates"": [-1.667479311596469, 48.08439306683803]}";37;9680;Square de Setúbal;35238;Rennes;4;;S 23;2012-08-31T22:00:00Z;Rennes Métropole;n°7
48.1034483641, -1.68156171017;"{""type"": ""Point"", ""coordinates"": [-1.681561710165521, 48.103448364144455]}";47;8884;Allée Marcel Viaud;35238;Rennes;3;;S 23;2015-05-21T22:00:00Z;Rennes Métropole;n°2
48.1260124507, -1.70777084517;"{""type"": ""Point"", ""coordinates"": [-1.707770845171201, 48.12601245074891]}";7;9657;Avenue Charles et Raymonde Tillon;35238;Rennes;3;;S 23;2013-04-02T22:00:00Z;Rennes Métropole;n°26
48.1073478587, -1.67516312885;"{""type"": ""Point"", ""coordinates"": [-1.675163128852798, 48.107347858675396]}";52;9094;Boulevard de la Liberté;35238;Rennes;7;;S 23;1992-12-31T23:00:00Z;Rennes Métropole;face cité administrative
48.0999298292, -1.66086025244;"{""type"": ""Point"", ""coordinates"": [-1.660860252439448, 48.099929829182244]}";53;8676;Rue de Belleville;35238;Rennes;4;;S 23;;Rennes Métropole;face aux n°27 et 29 - pas de SV
48.0933939791, -1.70474221563;"{""type"": ""Point"", ""coordinates"": [-1.704742215633, 48.09339397907225]}";64;8403;Avenue Germaine Tillion;35281;Saint-Jacques-de-la-Lande;14;;SV 5;2013-12-31T23:00:00Z;Rennes Métropole;entre n°3 et 5
